"merchantID","your_merchant_id"
"merchantReferenceCode","your_merchant_reference_code"
"invoiceHeader_merchantVATRegistrationNumber","GB-123445555"
"invoiceHeader_summaryCommodityCode","SUMM"
"invoiceHeader_supplierOrderReference","456456346"
"purchaseTotals_currency","USD"
"purchaseTotals_freightAmount","0.00"
"purchaseTotals_grandTotalAmount","9.95"
"item_0_taxAmount","1.00"
"item_0_taxRate","0.05"
"item_0_nationalTax","0.01"
"item_0_unitPrice","1.99"
"item_0_totalAmount","9".95
"item_0_quantity","5"
"item_0_commodityCode","2222"
"item_0_alternateTaxRate","0.01"
"invoiceHeader_userPO","12345"
"ccCaptureService_run","true"
"ccCaptureService_authRequestID","4799681925666204101011"
